Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
Total,Total,304,"1,220","1,566",47,105,100,2023
,Male,67,304,585,15,26,29,2023
,Female,237,916,981,32,79,71,2023
New Taipei City,Total,59,227,266,3,11,13,2023
,Male,9,51,81,2,3,3,2023
,Female,50,176,185,1,8,10,2023
Taipei City,Total,15,80,153,-,2,5,2023
,Male,3,23,53,-,-,-,2023
,Female,12,57,100,-,2,5,2023
Taoyuan City,Total,23,105,135,1,15,9,2023
,Male,3,24,42,1,3,4,2023
,Female,20,81,93,-,12,5,2023
Taichung City,Total,55,133,198,4,6,12,2023
,Male,14,22,94,-,3,3,2023
,Female,41,111,104,4,3,9,2023
Tainan City,Total,28,119,126,-,5,3,2023
,Male,5,28,44,-,-,1,2023
,Female,23,91,82,-,5,2,2023
Kaohsiung City,Total,38,141,199,4,3,6,2023
,Male,12,52,76,1,-,2,2023
,Female,26,89,123,3,3,4,2023
Yilan County,Total,9,17,38,1,-,4,2023
,Male,2,2,19,-,-,-,2023
,Female,7,15,19,1,-,4,2023
Hsinchu County,Total,7,44,47,3,6,-,2023
,Male,1,10,15,1,2,-,2023
,Female,6,34,32,2,4,-,2023
Miaoli County,Total,5,27,33,-,-,1,2023
,Male,-,5,15,-,-,1,2023
,Female,5,22,18,-,-,-,2023
Changhua County,Total,15,80,101,-,-,-,2023
,Male,6,24,47,-,-,-,2023
,Female,9,56,54,-,-,-,2023
Nantou County,Total,11,37,23,12,5,3,2023
,Male,2,8,10,3,1,2,2023
,Female,9,29,13,9,4,1,2023
Yunlin County,Total,5,36,37,-,1,1,2023
,Male,2,11,12,-,1,-,2023
,Female,3,25,25,-,-,1,2023
Chiayi County,Total,1,10,27,-,-,-,2023
,Male,1,2,14,-,-,-,2023
,Female,-,8,13,-,-,-,2023
Pingtung County,Total,8,27,39,2,7,1,2023
,Male,-,5,18,1,3,-,2023
,Female,8,22,21,1,4,1,2023
Taitung County,Total,1,9,8,2,14,14,2023
,Male,-,4,2,1,3,5,2023
,Female,1,5,6,1,11,9,2023
Hualien County,Total,3,17,20,9,23,28,2023
,Male,2,8,5,4,7,8,2023
,Female,1,9,15,5,16,20,2023
Penghu County,Total,-,3,5,-,-,-,2023
,Male,-,1,2,-,-,-,2023
,Female,-,2,3,-,-,-,2023
Keelung City,Total,8,37,27,6,7,-,2023
,Male,1,9,10,1,-,-,2023
,Female,7,28,17,5,7,-,2023
Hsinchu City,Total,9,20,58,-,-,-,2023
,Male,2,4,22,-,-,-,2023
,Female,7,16,36,-,-,-,2023
Chiayi City,Total,4,18,9,-,-,-,2023
,Male,2,8,2,-,-,-,2023
,Female,2,10,7,-,-,-,2023
Kinmen County,Total,-,33,17,-,-,-,2023
,Male,-,3,2,-,-,-,2023
,Female,-,30,15,-,-,-,2023
Lienchiang County,Total,-,-,-,-,-,-,2023
,Male,-,-,-,-,-,-,2023
,Female,-,-,-,-,-,-,2023
Total,Total,203,920,998,21,70,59,2022
,Male,42,244,378,7,17,22,2022
,Female,161,676,620,14,53,37,2022
New Taipei City,Total,42,168,191,4,6,2,2022
,Male,10,41,70,2,-,1,2022
,Female,32,127,121,2,6,1,2022
Taipei City,Total,14,93,105,-,-,-,2022
,Male,3,30,42,-,-,-,2022
,Female,11,63,63,-,-,-,2022
Taoyuan City,Total,21,112,81,4,9,9,2022
,Male,5,30,26,-,2,6,2022
,Female,16,82,55,4,7,3,2022
Taichung City,Total,30,81,107,1,4,2,2022
,Male,6,18,31,1,1,-,2022
,Female,24,63,76,-,3,2,2022
Tainan City,Total,11,62,78,1,-,1,2022
,Male,2,13,35,-,-,-,2022
,Female,9,49,43,1,-,1,2022
Kaohsiung City,Total,22,95,117,-,4,4,2022
,Male,3,27,44,-,2,1,2022
,Female,19,68,73,-,2,3,2022
Yilan County,Total,7,24,13,-,1,2,2022
,Male,3,6,8,-,-,1,2022
,Female,4,18,5,-,1,1,2022
Hsinchu County,Total,5,32,27,2,5,4,2022
,Male,-,9,13,-,-,2,2022
,Female,5,23,14,2,5,2,2022
Miaoli County,Total,4,24,19,1,4,-,2022
,Male,1,10,11,1,2,-,2022
,Female,3,14,8,-,2,-,2022
Changhua County,Total,13,69,89,-,1,-,2022
,Male,2,18,39,-,1,-,2022
,Female,11,51,50,-,-,-,2022
Nantou County,Total,4,22,17,1,3,2,2022
,Male,1,11,5,1,3,-,2022
,Female,3,11,12,-,-,2,2022
Yunlin County,Total,3,25,30,-,1,-,2022
,Male,1,6,11,-,-,-,2022
,Female,2,19,19,-,1,-,2022
Chiayi County,Total,1,16,21,-,-,-,2022
,Male,-,-,5,-,-,-,2022
,Female,1,16,16,-,-,-,2022
Pingtung County,Total,10,31,30,-,7,3,2022
,Male,3,11,11,-,3,-,2022
,Female,7,20,19,-,4,3,2022
Taitung County,Total,5,10,2,2,6,13,2022
,Male,1,5,2,1,2,7,2022
,Female,4,5,-,1,4,6,2022
Hualien County,Total,3,6,10,4,18,15,2022
,Male,-,-,4,1,1,2,2022
,Female,3,6,6,3,17,13,2022
Penghu County,Total,1,2,-,-,-,-,2022
,Male,-,1,-,-,-,-,2022
,Female,1,1,-,-,-,-,2022
Keelung City,Total,3,16,25,-,-,-,2022
,Male,-,3,8,-,-,-,2022
,Female,3,13,17,-,-,-,2022
Hsinchu City,Total,1,21,24,-,1,1,2022
,Male,-,4,9,-,-,1,2022
,Female,1,17,15,-,1,-,2022
Chiayi City,Total,3,11,12,1,-,1,2022
,Male,1,1,4,-,-,1,2022
,Female,2,10,8,1,-,-,2022
Kinmen County,Total,-,-,-,-,-,-,2022
,Male,-,-,-,-,-,-,2022
,Female,-,-,-,-,-,-,2022
Lienchiang County,Total,-,-,-,-,-,-,2022
,Male,-,-,-,-,-,-,2022
,Female,-,-,-,-,-,-,2022
Total,Total,186,786,785,11,66,35,2021
,Male,40,253,263,1,18,14,2021
,Female,146,533,522,10,48,21,2021
