Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
New Taipei City,Male,9,51,81,2,3,3,2023
New Taipei City,Female,50,176,185,1,8,10,2023
Taipei City,Male,3,23,53,-,-,-,2023
Taipei City,Female,12,57,100,-,2,5,2023
Taoyuan City,Male,3,24,42,1,3,4,2023
Taoyuan City,Female,20,81,93,-,12,5,2023
Taichung City,Male,14,22,94,-,3,3,2023
Taichung City,Female,41,111,104,4,3,9,2023
Tainan City,Male,5,28,44,-,-,1,2023
Tainan City,Female,23,91,82,-,5,2,2023
Kaohsiung City,Male,12,52,76,1,-,2,2023
Kaohsiung City,Female,26,89,123,3,3,4,2023
Yilan County,Male,2,2,19,-,-,-,2023
Yilan County,Female,7,15,19,1,-,4,2023
Hsinchu County,Male,1,10,15,1,2,-,2023
Hsinchu County,Female,6,34,32,2,4,-,2023
Miaoli County,Male,-,5,15,-,-,1,2023
Miaoli County,Female,5,22,18,-,-,-,2023
Changhua County,Male,6,24,47,-,-,-,2023
Changhua County,Female,9,56,54,-,-,-,2023
Nantou County,Male,2,8,10,3,1,2,2023
Nantou County,Female,9,29,13,9,4,1,2023
Yunlin County,Male,2,11,12,-,1,-,2023
Yunlin County,Female,3,25,25,-,-,1,2023
Chiayi County,Male,1,2,14,-,-,-,2023
Chiayi County,Female,-,8,13,-,-,-,2023
Pingtung County,Male,-,5,18,1,3,-,2023
Pingtung County,Female,8,22,21,1,4,1,2023
Taitung County,Male,-,4,2,1,3,5,2023
Taitung County,Female,1,5,6,1,11,9,2023
Hualien County,Male,2,8,5,4,7,8,2023
Hualien County,Female,1,9,15,5,16,20,2023
Penghu County,Male,-,1,2,-,-,-,2023
Penghu County,Female,-,2,3,-,-,-,2023
Keelung City,Male,1,9,10,1,-,-,2023
Keelung City,Female,7,28,17,5,7,-,2023
Hsinchu City,Male,2,4,22,-,-,-,2023
Hsinchu City,Female,7,16,36,-,-,-,2023
Chiayi City,Male,2,8,2,-,-,-,2023
Chiayi City,Female,2,10,7,-,-,-,2023
Kinmen County,Male,-,3,2,-,-,-,2023
Kinmen County,Female,-,30,15,-,-,-,2023
Lienchiang County,Male,-,-,-,-,-,-,2023
Lienchiang County,Female,-,-,-,-,-,-,2023
New Taipei City,Male,10,41,70,2,-,1,2022
