Region,Gender,12-Under 15 Years,15-Under 18 Years,Under 12 Years
Changhua County,Female,264,307,47
Changhua County,Male,86,143,16
Chiayi City,Female,36,48,10
Chiayi City,Male,17,10,8
Chiayi County,Female,50,73,4
Chiayi County,Male,14,29,1
Hsinchu City,Female,86,107,28
Hsinchu City,Male,17,41,4
Hsinchu County,Female,128,117,30
Hsinchu County,Male,39,58,5
Hualien County,Female,80,86,19
Hualien County,Male,51,43,8
Kaohsiung City,Female,491,729,112
Kaohsiung City,Male,158,203,27
Keelung City,Female,105,97,22
Keelung City,Male,40,27,6
Kinmen County,Female,36,25,0
Kinmen County,Male,4,4,0
Lienchiang County,Female,0,1,0
Lienchiang County,Male,3,0,0
Miaoli County,Female,96,90,13
Miaoli County,Male,30,47,7
Nantou County,Female,107,69,28
Nantou County,Male,43,45,10
New Taipei City,Female,752,782,175
New Taipei City,Male,182,244,41
Penghu County,Female,5,5,1
Penghu County,Male,3,2,0
Pingtung County,Female,141,123,31
Pingtung County,Male,72,59,15
Taichung City,Female,396,409,114
Taichung City,Male,100,197,30
Tainan City,Female,246,261,61
Tainan City,Male,81,120,17
Taipei City,Female,280,359,46
Taipei City,Male,105,156,13
Taitung County,Female,51,53,17
Taitung County,Male,39,28,5
Taoyuan City,Female,448,450,95
Taoyuan City,Male,131,150,22
Yilan County,Female,77,57,19
Yilan County,Male,26,42,5
Yunlin County,Female,91,116,18
Yunlin County,Male,35,57,5
