,Region,Count,Z_Score,Risk_Level
0,Changhua County,863,0.520788227169769,High
1,Chiayi City,129,-0.7650968328206638,Very Low
2,Chiayi County,171,-0.6915175787067698,Very Low
3,Hsinchu City,283,-0.49530623440305255,Low
4,Hsinchu County,377,-0.33062885614814697,High
5,Hualien County,287,-0.48829868639220547,Medium
6,Kaohsiung City,1720,2.0221553884937484,Very High
7,Keelung City,297,-0.47077981636508787,Medium
8,Kinmen County,69,-0.8702100529833694,Very Low
9,Lienchiang County,4,-0.984082708159634,Very Low
10,Miaoli County,283,-0.49530623440305255,Low
11,Nantou County,302,-0.46202038135152906,Medium
12,New Taipei City,2176,2.8210158617303116,Very High
13,Penghu County,16,-0.9630600641270928,Very Low
14,Pingtung County,441,-0.21850808797459426,High
15,Taichung City,1246,1.1917609492083736,Very High
16,Tainan City,786,0.38589292796096336,High
17,Taipei City,959,0.6889693794300981,Very High
18,Taitung County,193,-0.652976064647111,Low
19,Taoyuan City,1296,1.2793552993439616,Very High
20,Yilan County,226,-0.5951637935576229,Low
21,Yunlin County,322,-0.42698264129729385,Medium
