Region,Gender_Disparity,Youth_Vulnerability
Changhua County,2.52,0.07
Chiayi City,2.69,0.14
Chiayi County,2.89,0.03
Hsinchu City,3.56,0.11
Hsinchu County,2.7,0.09
Hualien County,1.81,0.09
Kaohsiung City,3.43,0.08
Keelung City,3.07,0.09
Kinmen County,7.62,0.0
Lienchiang County,0.33,0.0
Miaoli County,2.37,0.07
Nantou County,2.08,0.13
New Taipei City,3.66,0.1
Penghu County,2.2,0.06
Pingtung County,2.02,0.1
Taichung City,2.81,0.12
Tainan City,2.61,0.1
Taipei City,2.5,0.06
Taitung County,1.68,0.11
Taoyuan City,3.28,0.09
Yilan County,2.1,0.11
Yunlin County,2.32,0.07
